Food Code,Food Name,Group,Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),,,,,,,,,,,,,,,,,,,,,,,
12-342,"Cream substitute, double",BJS,Tr,1.33,,N,N,N,0.6,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
12-544,"Cream substitute, single",BJS,Tr,0.84,,N,N,N,0.7,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
12-337,"Cream, dairy, extra thick (24% fat)",BJC,0.3,0.8,,0.03,0.19,0.1,0.5,0.6,0.03,0.4,5,0.3,2.8,1,,,,,,,,,,,,,,,,,,,,,,,
12-338,"Cream, dairy, UHT, canned spray, 85% cream",BJP,0.3,0.79,,0.03,0.26,0.1,0.5,0.6,0.02,0.1,6,0.19,1.7,0,,,,,,,,,,,,,,,,,,,,,,,
12-339,"Cream, dairy, UHT, half fat, canned spray",BJP,Tr,0.46,,0.03,0.26,0.1,0.5,0.6,0.02,0.1,6,0.19,1.7,0,,,,,,,,,,,,,,,,,,,,,,,
12-592,"Cream, fresh, clotted",BJC,0.3,1.48,,0.02,0.16,Tr,0.4,0.4,0.03,0.1,6,0.14,1,Tr,,,,,,,,,,,,,,,,,,,,,,,
12-334,"Cream, fresh, double, including Jersey cream",BJC,0.3,1.64,6.4,0.02,0.19,Tr,0.3,0.3,0.01,0.6,7,0.23,0.9,1,,,,,,,,,,,,,,,,,,,,,,,
12-332,"Cream, fresh, single",BJC,0.3,0.47,,0.03,0.19,0.1,0.5,0.6,0.03,0.4,5,0.3,2.8,1,,,,,,,,,,,,,,,,,,,,,,,
12-333,"Cream, fresh, whipping",BJC,0.3,1.32,,0.02,0.17,Tr,0.5,0.5,0.04,0.2,7,0.22,1.4,1,,,,,,,,,,,,,,,,,,,,,,,
12-112,"Cream, half, fresh",BJC,0.1,0.29,,0.03,0.18,0.1,0.7,0.8,0.05,0.3,6,0.26,1.7,1,,,,,,,,,,,,,,,,,,,,,,,
12-571,"Crème caramel, homemade",BR,0.9,0.36,,0.03,0.22,0.1,1.2,1.3,0.05,1.2,9,0.53,6.7,1,,,,,,,,,,,,,,,,,,,,,,,
12-397,"Creme caramel, retail",BR,0.1,0.03,,0.03,0.2,0.1,0.7,0.8,0.03,0.3,8,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
17-763,Creme egg,SEA,0.6,1.07,,0.06,0.34,0.2,1.3,1.5,0.03,1,12,0.59,3,0,,,,,,,,,,,,,,,,,,,,,,,
12-335,"Creme fraiche, full fat",BJC,0.3,0.72,,0.02,0.21,0.1,N,N,0.01,0.2,3,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
12-336,"Creme fraiche, half fat",BJC,Tr,0.42,,0.02,0.21,0.1,N,N,0.01,0.2,3,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
11-822,"Crispbread, rye",AM,0,0.4,,0.26,0.04,0.9,1.7,2.6,0.1,0,29,0.59,8,0,,,,,,,,,,,,,,,,,,,,,,,
11-988,Croissants,AG,0.1,0.99,,0.19,0.16,1.5,1.8,3.3,0.11,Tr,47,0.5,9,0,,,,,,,,,,,,,,,,,,,,,,,
11-1055,"Crumble, apple, homemade",AS,N,N,0.2,0.05,0.02,0.3,0.4,0.3,0.05,0,2,0.06,0.7,7,,,,,,,,,,,,,,,,,,,,,,,
11-1056,"Crumble, fruit, homemade",AS,N,N,1.37,0.05,0.03,0.5,0.4,0.9,0.04,0,2,0.12,N,5,,,,,,,,,,,,,,,,,,,,,,,
11-1020,"Crumble, fruit, retail",AS,0.7,0.74,,0.08,0.02,0.5,0.7,1.2,0.05,0,10,0.1,Tr,3,,,,,,,,,,,,,,,,,,,,,,,
11-994,"Crumble, fruit, wholemeal, homemade",AS,0.1,0.51,,0.06,0.03,1,0.6,1.6,0.08,0,3,0.19,1.5,5,,,,,,,,,,,,,,,,,,,,,,,
15-729,"Crumble, vegetable, with tinned tomatoes, homemade",DR,N,N,,0.15,0.05,0.9,0.6,1.5,0.13,0,14,0.28,N,9,,,,,,,,,,,,,,,,,,,,,,,
15-730,"Crumble, vegetable, with tinned tomatoes, wholemeal, homemade",DR,N,N,,0.16,0.06,1.5,0.8,2.3,0.18,0,14,0.34,N,9,,,,,,,,,,,,,,,,,,,,,,,
15-727,"Crumble, vegetable, with white sauce, homemade",DR,N,N,,0.11,0.12,0.8,1,2,0.1,0.3,18,0.47,1.9,12,,,,,,,,,,,,,,,,,,,,,,,
15-728,"Crumble, vegetable, with white sauce, wholemeal, homemade",DR,N,N,,0.08,0.12,1.3,1.2,2.6,0.14,0.3,16,0.55,N,10,,,,,,,,,,,,,,,,,,,,,,,
11-1057,"Crumble, with pie filling, homemade",AS,N,N,0.13,0.04,0.02,0.4,0.4,0.8,N,0,2,N,N,4,,,,,,,,,,,,,,,,,,,,,,,
11-989,"Crumpets, toasted",AP,0,0.26,,0.23,0.06,1.7,1.8,3.5,0.07,0,9,0.26,3.1,0,,,,,,,,,,,,,,,,,,,,,,,
13-523,"Cucumber, raw, flesh and skin",DG,0,0.04,20.9,0.03,0.02,0.2,0.1,0.3,0.01,0,14,0.32,0.8,2,,,,,,,,,,,,,,,,,,,,,,,
13-889,Cumin seeds,H,0,3.33,5.4,0.63,0.33,4.6,N,N,0.44,0,10,N,N,8,,,,,,,,,,,,,,,,,,,,,,,
13-649,"Curly kale, boiled in unsalted water",DG,0,2.69,,Tr,0.03,0.4,0.8,1.2,0.09,0,97,0.13,0.3,25,,,,,,,,,,,,,,,,,,,,,,,
13-234,"Curly kale, raw",DG,0,1.7,623,0.08,0.09,1,0.7,1.7,0.26,0,120,0.09,0.5,110,,,,,,,,,,,,,,,,,,,,,,,
11-1009,"Currant buns, retail",AF,0,0.37,,0.22,0.16,2.1,1.6,3.7,0.11,Tr,12,N,N,1,,,,,,,,,,,,,,,,,,,,,,,
11-948,"Currant buns, toasted",AP,0,0.41,,0.24,0.18,2.3,1.8,4.1,0.12,Tr,13,N,N,1,,,,,,,,,,,,,,,,,,,,,,,
14-074,Currants,FA,0,N,,0.16,0.05,0.9,0.2,1.1,0.23,0,4,0.07,4.8,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-821,"Curry leaves, fresh",H,0,N,,0.08,0.21,2.3,2.1,4.4,N,0,94,N,N,8,,,,,,,,,,,,,,,,,,,,,,,
17-720,Curry paste,WC,0,N,,0.09,0.13,1.8,N,N,N,Tr,N,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
13-876,Curry powder,H,0,N,,0.25,0.28,3.5,N,N,0.1,0,56,N,N,1,,,,,,,,,,,,,,,,,,,,,,,
13-823,"Curry powder, mixed flavours",H,0,N,,0.4,0.78,7.3,N,N,N,0,0,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
15-731,"Curry, almond, homemade",DR,0.2,5.78,,0.08,0.17,1,0.8,1.8,0.07,Tr,12,N,N,6,,,,,,,,,,,,,,,,,,,,,,,
19-547,"Curry, beef and spinach, homemade",MR,0.3,1.11,134.35,0.11,0.13,2.1,2.2,4.3,0.23,0.7,15,0.31,1,6,,,,,,,,,,,,,,,,,,,,,,,
19-549,"Curry, beef, homemade",MR,0.4,2.41,,0.06,0.19,2.8,3.7,6.5,0.3,1.3,20,0.39,0.8,1,,,,,,,,,,,,,,,,,,,,,,,
19-472,"Curry, beef, reduced fat, homemade",MR,0.4,0.99,,0.07,0.2,3,3.9,6.9,0.32,1.3,22,0.42,0.8,1,,,,,,,,,,,,,,,,,,,,,,,
19-488,"Curry, beef, retail, reheated",MR,N,0.62,,0.05,0.16,2.4,1.6,4,0.2,N,N,0.71,3,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-529,"Curry, beef, retail, reheated, with rice",MR,N,0.51,,0.06,0.09,2.4,1.4,3.8,0.15,N,N,0.62,2.2,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-627,"Curry, bhindi subji, homemade",DR,0,4.1,,0.67,0.14,0.4,N,N,Tr,0,25,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-735,"Curry, black gram, whole and red kidney bean, homemade",DR,0,N,,0.09,0.06,0.4,0.8,1.2,0.04,0,12,0.06,0.2,2,,,,,,,,,,,,,,,,,,,,,,,
15-736,"Curry, black gram, whole, Bengali, homemade",DR,0,N,,0.07,0.06,0.4,0.8,1.2,N,0,13,N,N,1,,,,,,,,,,,,,,,,,,,,,,,
15-737,"Curry, black gram, whole, Gujerati, homemade",DR,0.1,N,,0.19,0.11,0.8,1.5,2.3,N,Tr,24,N,N,4,,,,,,,,,,,,,,,,,,,,,,,
15-738,"Curry, black-eye bean, homemade",DR,0,N,,0.24,0.06,0.6,1.7,2.3,0.1,0,106,0.4,4.9,1,,,,,,,,,,,,,,,,,,,,,,,
15-095,"Curry, black-eye bean, Punjabi, homemade",DR,Tr,0.16,,0.14,0.03,0.4,1.3,1.7,0.08,Tr,140,0.22,4.7,1,,,,,,,,,,,,,,,,,,,,,,,
15-739,"Curry, Bombay potato, homemade",DR,0,1.55,,0.14,0.01,0.4,0.4,0.8,0.29,0,8,0.27,0.5,8,,,,,,,,,,,,,,,,,,,,,,,
15-740,"Curry, cabbage, masala, homemade",DR,0,1.61,,0.2,0.03,0.6,0.3,0.9,0.14,0,32,0.21,0.7,19,,,,,,,,,,,,,,,,,,,,,,,
15-741,"Curry, cauliflower and potato, homemade",DR,0,0.56,,0.09,0.06,0.6,0.8,1.4,0.26,0,24,0.46,1.2,24,,,,,,,,,,,,,,,,,,,,,,,
15-742,"Curry, chick pea dahl and spinach, with butter, homemade",DR,0.1,1.38,,0.1,0.07,0.6,0.9,1.5,0.12,Tr,43,0.45,N,3,,,,,,,,,,,,,,,,,,,,,,,
15-743,"Curry, chick pea dahl and spinach, with vegetable oil, homemade",DR,0,3.94,,0.1,0.06,0.6,0.9,1.5,0.12,0,43,0.36,N,3,,,,,,,,,,,,,,,,,,,,,,,
15-641,"Curry, chick pea dhal, homemade",DR,0,3.1,,0.12,0.07,0.7,1,1.7,0.17,0,32,0.46,N,2,,,,,,,,,,,,,,,,,,,,,,,
15-748,"Curry, chick pea, UK type, homemade",DR,0,1.44,,0.11,0.06,0.7,0.8,1.5,0.14,0,47,0.27,N,4,,,,,,,,,,,,,,,,,,,,,,,
15-745,"Curry, chick pea, whole and potato, homemade",DR,0,1.42,,0.09,0.09,0.5,0.9,1.4,0.25,Tr,41,0.28,N,1,,,,,,,,,,,,,,,,,,,,,,,
15-746,"Curry, chick pea, whole and tomato, Gujerati, with butter ghee, homemade",DR,0.1,1.94,,0.13,0.07,0.8,1.1,1.9,0.21,Tr,36,0.51,N,6,,,,,,,,,,,,,,,,,,,,,,,
15-747,"Curry, chick pea, whole and tomato, Gujerati, with vegetable oil, homemade",DR,0,4.03,,0.13,0.07,0.8,1.1,1.9,0.21,0,36,0.51,N,6,,,,,,,,,,,,,,,,,,,,,,,
15-107,"Curry, chick pea, whole and tomato, Punjabi, with butter, homemade",DR,Tr,0.89,,0.08,0.05,0.6,0.7,1.3,0.11,Tr,36,0.21,N,1,,,,,,,,,,,,,,,,,,,,,,,
15-108,"Curry, chick pea, whole and tomato, Punjabi, with vegetable oil, homemade",DR,0,1.66,,0.08,0.05,0.6,0.7,1.3,0.11,0,36,0.21,N,1,,,,,,,,,,,,,,,,,,,,,,,
15-744,"Curry, chick pea, whole, Gujerati type, homemade",DR,0,2.35,,0.15,0.09,0.8,1.3,2.1,0.19,0,39,0.54,N,2,,,,,,,,,,,,,,,,,,,,,,,
19-449,"Curry, chicken balti, retail",MR,N,2.37,,0.04,0.14,3.3,N,N,0.14,0.1,14,0.33,4.2,3,,,,,,,,,,,,,,,,,,,,,,,
19-565,"Curry, chicken korma, homemade",MR,0.1,0.88,,0.1,0.17,3.7,2.8,6.5,0.23,0.3,10,0.72,2.5,1,,,,,,,,,,,,,,,,,,,,,,,
19-540,"Curry, chicken tandoori, retail, reheated",MR,0.2,1.49,,0.12,0.19,10.2,5.8,16,0.61,1,16,2.25,5,2,,,,,,,,,,,,,,,,,,,,,,,
19-296,"Curry, chicken tikka masala, retail, reheated",MIG,0.3,1.57,,0.08,0.14,4.2,1.9,6.1,0.29,0.5,21,0.98,6,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-567,"Curry, chicken vindaloo, homemade",MR,0.1,2.46,,0.12,0.13,5.1,4.1,5.1,0.27,Tr,9,0.74,1.5,2,,,,,,,,,,,,,,,,,,,,,,,
19-568,"Curry, chicken vindaloo, reduced fat, homemade",MR,0.1,0.37,,0.13,0.14,5.4,3.6,5.4,0.29,Tr,10,0.78,1.6,2,,,,,,,,,,,,,,,,,,,,,,,
19-520,"Curry, chicken, average, retail, reheated",MR,N,1.3,,0.2,0.14,3.8,2.3,6.1,0.24,N,N,1.02,3,1,,,,,,,,,,,,,,,,,,,,,,,
19-528,"Curry, chicken, average, retail, reheated with rice",MR,N,0.88,,0.15,0.08,3.1,1.8,4.9,0.17,N,N,0.79,2.2,1,,,,,,,,,,,,,,,,,,,,,,,
19-322,"Curry, chicken, average, takeaway",MR,0.3,2.12,,0.05,0.07,2.5,1.8,4.3,0.19,Tr,N,0.66,2.3,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-534,"Curry, chicken, made with cook-in sauce",MR,0.1,2.4,,0.11,0.13,5.5,3.5,9,0.29,Tr,14,0.93,3.4,2,,,,,,,,,,,,,,,,,,,,,,,
19-465,"Curry, chicken, Thai green, takeaway and restaurant",MR,0.3,0.99,,0.02,0.05,2.5,1.5,4,0.14,0.2,7,0.49,2.1,1,,,,,,,,,,,,,,,,,,,,,,,
15-749,"Curry, courgette and potato, homemade",DR,0,N,,0.12,0.01,0.3,0.4,0.7,0.23,0,17,0.19,N,11,,,,,,,,,,,,,,,,,,,,,,,
15-774,"Curry, dudhi, kofta, homemade",DR,0,N,,0.1,0.03,0.5,0.4,0.9,0.14,Tr,12,0.24,N,4,,,,,,,,,,,,,,,,,,,,,,,
15-750,"Curry, egg and potato, homemade",DR,1.5,1.91,,0.1,0.23,0.3,1.9,2.2,0.19,0.9,18,0.72,7.7,4,,,,,,,,,,,,,,,,,,,,,,,
15-752,"Curry, egg, in sweet sauce, UK type, homemade",DR,1.3,1.34,,0.07,0.2,0.2,1.6,1.8,0.07,0.8,15,0.54,7,1,,,,,,,,,,,,,,,,,,,,,,,
15-753,"Curry, egg, with butter, homemade",DR,1.1,1.08,,0.09,0.17,0.4,1.4,1.8,0.14,0.7,14,0.5,5.8,2,,,,,,,,,,,,,,,,,,,,,,,
15-754,"Curry, egg, with rapeseed oil, homemade",DR,1,2.91,,0.09,0.17,0.4,1.4,1.8,0.14,0.6,14,0.49,5.8,2,,,,,,,,,,,,,,,,,,,,,,,
16-462,"Curry, fish and vegetable, Bangladeshi, homemade",J,N,N,,N,N,2.1,1.7,3.8,N,2.7,N,N,N,3,,,,,,,,,,,,,,,,,,,,,,,
16-446,"Curry, fish, Bangladeshi, homemade",JR,N,N,,N,N,0.7,N,N,N,3.8,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-364,"Curry, fish, homemade",JR,1.4,3.24,,Tr,0.04,1.7,N,N,Tr,1.3,9,0.12,6.8,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-755,"Curry, green bean, masala, homemade",DR,0,2.94,,0.07,0.06,0.6,0.3,0.9,0.05,0,41,N,N,6,,,,,,,,,,,,,,,,,,,,,,,
16-455,"Curry, haddock, Bengali, homemade",JR,0.2,1.03,,0.11,0.12,2.9,2.3,5.2,0.32,1.2,11,0.23,1.7,4,,,,,,,,,,,,,,,,,,,,,,,
16-456,"Curry, herring, Bengali, homemade",JR,11.5,1.19,,0.05,0.19,2.5,2.1,4.6,0.35,7.8,11,0.49,4.4,4,,,,,,,,,,,,,,,,,,,,,,,
15-756,"Curry, karela, homemade",DR,0,N,,0.09,0.03,0.4,0.3,0.7,N,0,20,N,N,64,,,,,,,,,,,,,,,,,,,,,,,
19-591,"Curry, lamb biryani, homemade",MR,0.1,1.55,8.98,0.07,0.05,1.1,1.2,2.3,0.15,0.3,6,0.23,1.1,2,,,,,,,,,,,,,,,,,,,,,,,
19-592,"Curry, lamb biryani, reduced fat, homemade",MR,0.1,0.32,,0.08,0.05,1.1,1.2,3.3,0.15,0.4,7,0.21,1.2,2,,,,,,,,,,,,,,,,,,,,,,,
19-595,"Curry, lamb rogan josh, homemade",MR,0.2,1.05,,0.13,0.11,2.4,2,4.4,0.2,0.9,6,0.29,1.3,3,,,,,,,,,,,,,,,,,,,,,,,
19-599,"Curry, lamb vindaloo, homemade",MR,0.3,0.55,,0.1,0.12,2.8,3.4,6.2,0.19,1.3,3,0.28,N,2,,,,,,,,,,,,,,,,,,,,,,,
19-535,"Curry, lamb, made with cook-in sauce",MR,0.3,2.33,,0.11,0.12,3,2.9,0.6,0.18,1.3,7,0.74,3.4,2,,,,,,,,,,,,,,,,,,,,,,,
15-757,"Curry, lentil, red/masoor dahl and mung bean dahl, homemade",DR,0,N,,0.07,0.04,0.4,0.7,1.1,0.09,0,8,0.24,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-758,"Curry, lentil, red/masoor dahl and tomato, Punjabi, homemade",DR,0,N,,0.08,0.02,0.6,0.4,1,0.13,0,18,0.21,N,7,,,,,,,,,,,,,,,,,,,,,,,
15-759,"Curry, lentil, red/masoor dahl and tomato, with butter, homemade",DR,0.1,N,,0.08,0.04,0.4,0.6,1,0.1,Tr,4,0.25,N,1,,,,,,,,,,,,,,,,,,,,,,,
15-760,"Curry, lentil, red/masoor dahl and tomato, with vegetable oil, homemade",DR,0,N,,0.08,0.03,0.4,0.6,1,0.1,0,4,0.2,N,1,,,,,,,,,,,,,,,,,,,,,,,
15-761,"Curry, lentil, red/masoor dahl and vegetable, UK type, homemade",DR,0,N,,0.11,0.04,0.5,0.8,1.3,0.19,0,9,0.31,N,12,,,,,,,,,,,,,,,,,,,,,,,
15-125,"Curry, lentil, red/masoor dahl, mung bean dahl and tomato, homemade",DR,0,1.05,,0.07,0.03,0.3,0.7,1,0.07,0,11,0.22,N,1,,,,,,,,,,,,,,,,,,,,,,,
15-762,"Curry, lentil, red/masoor dahl, Punjabi, homemade",DR,0,N,,0.16,0.06,0.7,1,1.7,0.19,0,8,0.32,N,1,,,,,,,,,,,,,,,,,,,,,,,
15-763,"Curry, lentil, red/masoor dahl, with butter, homemade",DR,0.1,N,,0.14,0.06,0.6,1.1,1.7,0.23,Tr,7,0.36,N,1,,,,,,,,,,,,,,,,,,,,,,,
15-764,"Curry, lentil, red/masoor dahl, with vegetable oil, homemade",DR,0,N,,0.14,0.06,0.6,1.1,1.7,0.19,0,7,0.34,N,1,,,,,,,,,,,,,,,,,,,,,,,
15-765,"Curry, lentil, whole/masoor, Gujerati, homemade",DR,0.1,N,,0.17,0.06,0.7,0.9,1.6,0.15,Tr,8,0.34,N,3,,,,,,,,,,,,,,,,,,,,,,,
15-766,"Curry, lentil, whole/masoor, Punjabi, homemade",DR,0,N,,0.12,0.05,0.5,0.8,1.3,0.13,0,5,0.26,N,1,,,,,,,,,,,,,,,,,,,,,,,
15-767,"Curry, mung bean dahl and spinach, homemade",DR,0,N,,0.11,0.11,1.2,1.4,2.6,0.17,0,59,0.47,N,11,,,,,,,,,,,,,,,,,,,,,,,
15-132,"Curry, mung bean dahl and tomato, homemade",DR,0,0.89,,0.08,0.05,0.5,0.9,1.4,0.07,0,25,0.31,N,1,,,,,,,,,,,,,,,,,,,,,,,
15-768,"Curry, mung bean dahl, Bengali, homemade",DR,0,N,,0.05,0.04,0.3,0.6,0.9,0.05,Tr,11,0.25,N,0,,,,,,,,,,,,,,,,,,,,,,,
15-769,"Curry, mung bean, whole and turnip leaves, homemade",DR,0.1,N,,0.07,0.15,0.7,0.8,1.5,0.17,Tr,70,0.26,N,20,,,,,,,,,,,,,,,,,,,,,,,
15-771,"Curry, mung bean, whole, Gujerati, homemade",DR,0,N,,0.13,0.06,0.6,1,1.6,0.1,0,19,0.41,N,3,,,,,,,,,,,,,,,,,,,,,,,
15-490,"Curry, mung bean, whole, Punjabi, homemade",DR,0,0.18,,0.06,0.04,0.4,0.7,1.1,0.07,Tr,13,0.28,N,1,,,,,,,,,,,,,,,,,,,,,,,
15-776,"Curry, pea and potato, homemade",DR,0,2.55,,0.1,0.03,0.6,0.5,1.1,0.15,0,12,0.13,0.3,4,,,,,,,,,,,,,,,,,,,,,,,
15-777,"Curry, pigeon pea dahl and tomato, homemade",DR,0,N,,0.07,0.01,0.3,0.2,0.5,N,0,6,N,N,1,,,,,,,,,,,,,,,,,,,,,,,
15-778,"Curry, pigeon pea dahl with tomatoes and peanuts, homemade",DR,0,N,,0.23,0.03,1,0.7,1.7,N,0,19,N,N,2,,,,,,,,,,,,,,,,,,,,,,,
15-779,"Curry, pigeon pea dahl, with butter, homemade",DR,0,N,,0.15,0.03,0.5,0.4,0.9,N,Tr,10,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-780,"Curry, pigeon pea dahl, with vegetable oil, homemade",DR,0,N,,0.15,0.03,0.5,0.4,0.9,N,0,10,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-781,"Curry, potato and pea, homemade",DR,0,0.9,,0.25,0.03,0.9,0.6,1.5,0.26,0,16,0.24,0.7,7,,,,,,,,,,,,,,,,,,,,,,,
15-782,"Curry, potato, Gujerati, homemade",DR,0,1.27,,0.14,0.01,0.5,0.3,0.8,0.21,0,12,0.24,0.3,7,,,,,,,,,,,,,,,,,,,,,,,
15-783,"Curry, potato, Punjabi, homemade",DR,0,0.45,,0.21,0.02,0.6,0.4,1,0.26,0,15,0.33,0.7,10,,,,,,,,,,,,,,,,,,,,,,,
16-457,"Curry, prawn and mushroom, homemade",J,Tr,3.73,,0.1,0.14,1.3,1.3,2.6,0.14,0.3,16,0.92,5.6,3,,,,,,,,,,,,,,,,,,,,,,,
16-365,"Curry, Prawn bhuna, takeaway",JR,Tr,2.71,,0.23,0.45,0.5,1.2,1.6,0.08,0.4,4,0.3,1.8,2,,,,,,,,,,,,,,,,,,,,,,,
16-366,"Curry, Prawn madras, takeaway",JR,Tr,3.6,,0.02,N,0.6,N,N,0.08,Tr,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
16-333,"Curry, prawn, takeaway",JR,Tr,3.16,,0.02,0.05,0.6,1.2,1.8,0.08,0.4,4,0.3,1.8,2,,,,,,,,,,,,,,,,,,,,,,,
15-784,"Curry, red kidney and mung bean, whole, homemade",DR,Tr,N,,0.07,0.03,0.3,0.6,0.9,0.05,Tr,11,0.18,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-785,"Curry, red kidney bean, Gujerati, homemade",DR,0,1.42,,0.1,0.03,0.4,0.6,1,0.08,0,12,0.13,N,3,,,,,,,,,,,,,,,,,,,,,,,
15-146,"Curry, red kidney bean, Punjabi, homemade",DR,0,1.54,,0.11,0.03,0.4,0.7,1.1,0.09,0,23,0.15,N,2,,,,,,,,,,,,,,,,,,,,,,,
15-787,"Curry, spinach and potato, masala, homemade",DR,0,2.98,,0.13,0.04,0.9,0.5,1.4,0.14,0,20,0.21,1,6,,,,,,,,,,,,,,,,,,,,,,,
15-634,"Curry, Thai, stir-fry vegetable, takeaway and restaurant",DR,0,1.48,,0.02,N,0.7,0.7,1.4,0.09,0,3,0.38,2.4,3,,,,,,,,,,,,,,,,,,,,,,,
15-788,"Curry, tinda gourd and potato, homemade",DR,0,N,,0.08,0.04,0.4,0.3,0.7,N,0,N,N,N,9,,,,,,,,,,,,,,,,,,,,,,,
15-789,"Curry, vegetable, frozen mixed vegetables, homemade",DR,0,N,,0.11,0.06,0.6,0.4,1,0.13,0,31,N,N,9,,,,,,,,,,,,,,,,,,,,,,,
15-790,"Curry, vegetable, in sweet sauce, UK type, homemade",DR,0,N,,0.1,0.02,0.5,0.2,0.7,0.08,0,15,0.18,N,9,,,,,,,,,,,,,,,,,,,,,,,
15-791,"Curry, vegetable, Islami, homemade",DR,0,1.56,,0.15,0.04,0.7,0.5,1.2,0.21,0,20,0.3,N,12,,,,,,,,,,,,,,,,,,,,,,,
15-792,"Curry, vegetable, Pakistani, homemade",DR,0,0.57,,0.2,0.03,0.7,0.4,1.1,0.15,0,13,0.2,0.6,8,,,,,,,,,,,,,,,,,,,,,,,
15-619,"Curry, vegetable, ready meal, without rice, cooked",DR,Tr,1.97,,0.06,0.05,0.8,0.2,1,0.08,Tr,56,0.36,2.5,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-892,"Curry, vegetable, retail, with rice",DR,Tr,1.23,,0.07,0.03,1.5,0.7,2.2,0.08,Tr,33,0.42,1.9,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-793,"Curry, vegetable, West Indian, homemade",DR,0,N,,0.09,0.05,0.7,0.5,1.2,0.13,0,37,0.18,N,9,,,,,,,,,,,,,,,,,,,,,,,
15-794,"Curry, vegetable, with yogurt, UK type, homemade",DR,Tr,N,,0.08,0.06,0.3,0.5,0.8,0.14,Tr,19,0.27,N,12,,,,,,,,,,,,,,,,,,,,,,,
14-075,"Custard apple/Bullock's heart, flesh only",FA,0,N,,0.09,0.08,0.5,0.1,0.6,0.22,0,N,0.13,N,21,,,,,,,,,,,,,,,,,,,,,,,
11-1138,Custard powder,AA,0,Tr,,0.02,Tr,Tr,0.1,0.1,Tr,0,2,Tr,Tr,0,,,,,,,,,,,,,,,,,,,,,,,
12-572,"Custard, confectioners'",BR,0.8,0.4,,0.05,0.27,0.2,1.5,1.7,0.08,1.3,15,0.8,7.5,1,,,,,,,,,,,,,,,,,,,,,,,
12-573,"Custard, egg",BR,0.6,0.28,Tr,0.04,0.3,0.1,1.3,1.4,0.07,1.3,12,0.82,6.8,1,,,,,,,,,,,,,,,,,,,,,,,
12-519,"Custard, made up with semi-skimmed milk",BR,Tr,0.04,,0.03,0.25,0.2,0.7,0.9,0.06,0.9,8,0.71,3.4,1,,,,,,,,,,,,,,,,,,,,,,,
12-574,"Custard, made up with skimmed milk",BR,Tr,Tr,,0.03,0.23,0.1,0.8,0.9,0.06,0.9,8,0.51,2.8,1,,,,,,,,,,,,,,,,,,,,,,,
12-575,"Custard, made up with whole milk",BR,Tr,0.06,,0.03,0.24,0.2,0.7,0.9,0.06,1,7,0.6,2.9,1,,,,,,,,,,,,,,,,,,,,,,,
12-543,"Custard, ready to eat, canned and tetra-pak",BR,Tr,0.29,,0.12,0.19,0.1,0.3,0.4,0.01,0.2,2,0.43,1.3,0,,,,,,,,,,,,,,,,,,,,,,,
16-254,"Cuttlefish, raw",JM,Tr,N,,0.04,0.48,3.7,3.4,7.1,0.39,2,13,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-038,"Dab, raw",JA,N,0.4,,0.1,0.08,2.3,2.9,5.2,0.19,2,5,0.86,1,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-484,"Dahl, mixed, homemade",DB,0,1.36,,0.09,0.07,0.3,N,N,N,0,62,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-511,"Dal Dhokari, homemade",DR,0,N,,0.17,0.03,1.4,0.7,2.1,0.07,0,15,0.16,N,1,,,,,,,,,,,,,,,,,,,,,,,
14-077,"Damsons, flesh and skin, raw",FA,0,0.7,,0.1,0.03,0.3,0.1,0.4,0.05,0,3,0.27,0.1,5,,,,,,,,,,,,,,,,,,,,,,,
